Scenario_ID,User_ID,Role,Triggered_Count,Triggered_Rules,Deterministic_Risk,LLM_Risk,Override_Status,LLM_Explanation
SCN01,USR001,Branch Manager,0,None,Low,Low,Maintained,"The user, a Branch Manager, accessed 10 records during expected working hours from a saved IP address with no failed login attempts. The action type was a view, which is within the normal operational behavior for their role, and no rules were triggered indicating any suspicious activity."
SCN02,USR002,Branch Manager,1,Rule 1: Outside Working Hours,Low,Low,Maintained,"The user, a Branch Manager, accessed records during off-hours but did not exceed the daily download limit of 99 records. The access was from a saved IP address with no failed login attempts, indicating legitimate behavior. Therefore, the initial risk assessment remains low."
SCN03,USR003,Branch Manager,1,Rule 2: Repeated Failed Logins (>3),Low,Medium,Overridden (Low -> Medium),"While the access was within expected working hours and from a saved IP address, the user had 4 failed login attempts, which indicates potential issues with account access or user behavior. This raises concerns about possible unauthorized access attempts or user frustration, warranting a medium risk level."
SCN04,USR004,Branch Manager,1,Rule 3: Mass Data Download (>99 records),Low,Medium,Overridden (Low -> Medium),"The user, a Branch Manager, downloaded 150 records, exceeding the daily limit of 99 records for their role. Although the action occurred during expected working hours and from a saved IP address, the significant deviation from the established download limit raises concerns about potential misuse of data, warranting an adjustment to Medium risk."
SCN05,USR005,Branch Manager,1,Rule 4: Sensitive/VIP Account Access,Low,Low,Maintained,"The user, a Branch Manager, accessed 10 sensitive/VIP records during expected working hours from a recognized IP address with no failed login attempts. This behavior aligns with their role and does not indicate any unusual or suspicious activity, justifying the maintenance of a low risk level."
SCN06,USR006,Branch Manager,1,Rule 5: Unrecognized IP Location,Low,Medium,Overridden (Low -> Medium),"The user accessed records from an unrecognized IP location, which deviates from their saved IP. Although the action type is 'View' and there were no failed login attempts, the access occurred outside the expected working hours, raising concerns about potential unauthorized access. This combination of factors warrants a medium risk assessment."
SCN07,USR007,Branch Manager,2,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3),Medium,Medium,Maintained,"The user, a Branch Manager, accessed records outside of normal working hours and had multiple failed login attempts, which raises concerns about potential unauthorized access or account compromise. However, the access was from a saved IP address and the account sensitivity is normal, suggesting that while the behavior is suspicious, it does not warrant a high risk level at this time."
SCN08,USR008,Branch Manager,2,Rule 1: Outside Working Hours; Rule 3: Mass Data Download (>99 records),Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, downloaded 150 records outside of expected working hours, triggering two significant rules: one for mass data download and another for outside working hours. Given the sensitivity of banking data and the breach of established download limits, this behavior poses a high risk for potential insider threats."
SCN09,USR009,Branch Manager,2,Rule 1: Outside Working Hours; Rule 4: Sensitive/VIP Account Access,Medium,Medium,Maintained,"The user, a Branch Manager, accessed sensitive/VIP account records outside of normal working hours, which triggered a medium risk assessment. Although there were no failed login attempts and the access was from a saved IP address, the timing of the access raises concerns about potential unauthorized activities. The access pattern is unusual but not definitively malicious, warranting a medium risk level."
SCN10,USR010,Branch Manager,2,Rule 1: Outside Working Hours; Rule 5: Unrecognized IP Location,Medium,Medium,Maintained,"The user, a Branch Manager, accessed records outside of normal working hours, which is unusual behavior. Additionally, the access was made from an unrecognized IP address, raising concerns about potential unauthorized access. However, there were no failed login attempts, and the number of records accessed (10) is within the daily limit for a manager. Therefore, while the situation warrants attention, the absence of failed logins and the nature of the access keeps the risk level at Medium rather than escalating it to High."
SCN11,USR011,Branch Manager,2,Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records),Medium,Medium,Maintained,"The user, a Branch Manager, triggered two significant rules: repeated failed logins and a mass data download exceeding the daily limit. While the download occurred during expected working hours and from a saved IP address, the combination of failed login attempts and the large volume of data accessed raises concerns about potential unauthorized access or data misuse, justifying the medium risk assessment."
SCN12,USR012,Branch Manager,2,Rule 2: Repeated Failed Logins (>3); Rule 4: Sensitive/VIP Account Access,Medium,Medium,Maintained,"The user, a Branch Manager, accessed sensitive/VIP records during expected working hours and from a saved IP address, which is consistent with their role. However, the four failed login attempts indicate potential unauthorized access attempts or credential issues, raising concerns about security. Therefore, the initial medium risk assessment is justified and should be maintained."
SCN13,USR013,Branch Manager,2,Rule 2: Repeated Failed Logins (>3); Rule 5: Unrecognized IP Location,Medium,Medium,Maintained,"The user, a Branch Manager, accessed records during expected working hours but exhibited suspicious behavior with 4 failed login attempts and accessed the system from an unrecognized IP address. While the number of records accessed is within the allowed limit, the combination of failed logins and the unfamiliar IP raises concerns about potential unauthorized access attempts, justifying the maintenance of a medium risk level."
SCN14,USR014,Branch Manager,2,Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access,Medium,Medium,Maintained,"The user, a Branch Manager, downloaded 150 records, exceeding the daily limit of 99 for their role. Although the action occurred during expected working hours and from a saved IP address, the mass data download of sensitive/VIP accounts raises concerns about potential insider threat behavior. The initial risk assessment remains appropriate due to the significant deviation from expected download limits."
SCN15,USR015,Branch Manager,2,Rule 3: Mass Data Download (>99 records); Rule 5: Unrecognized IP Location,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, downloaded 150 records, exceeding the daily limit of 99 for their role, which indicates potential misuse of access privileges. Additionally, the access was made from an unrecognized IP address, raising concerns about the legitimacy of the action. These factors combined suggest a significant risk of insider threat, warranting a high-risk assessment."
SCN16,USR016,Branch Manager,2,Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,Medium,Medium,Maintained,"The user, a Branch Manager, accessed sensitive/VIP accounts from an unrecognized IP address, which triggered two risk rules. Although the action was within expected working hours and under the daily download limit, the use of an unrecognized IP raises concerns about potential unauthorized access. Therefore, the initial medium risk assessment is justified."
SCN17,USR017,Branch Manager,3,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records),Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, accessed and downloaded 150 records outside of normal working hours, which exceeds the daily limit of 99 records. Additionally, there were 4 failed login attempts, indicating potential unauthorized access attempts or account compromise. These factors combined suggest a significant risk of insider threat, warranting a high-risk assessment."
SCN18,USR018,Branch Manager,3,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 4: Sensitive/VIP Account Access,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, accessed sensitive/VIP records outside of normal working hours, which raises suspicion. Additionally, the four failed login attempts indicate potential unauthorized access attempts or credential compromise. Given the combination of these factors, the risk level is elevated to High."
SCN19,USR019,Branch Manager,3,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 5: Unrecognized IP Location,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, accessed records outside of normal working hours and experienced multiple failed login attempts, indicating potential unauthorized access attempts. Additionally, the access was made from an unrecognized IP address, which raises concerns about the legitimacy of the access. These factors combined suggest a higher risk of insider threat, warranting an adjustment to a high-risk level."
SCN20,USR020,Branch Manager,3,Rule 1: Outside Working Hours; Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, accessed sensitive/VIP records outside of normal working hours and downloaded 150 records, exceeding the daily limit of 99. This behavior is atypical and raises significant concerns about potential insider threats, warranting a high-risk assessment."
SCN21,USR021,Branch Manager,3,Rule 1: Outside Working Hours; Rule 3: Mass Data Download (>99 records); Rule 5: Unrecognized IP Location,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, downloaded 150 records outside of normal working hours, which exceeds the daily limit of 99 records. Additionally, the access was made from an unrecognized IP address, indicating potential unauthorized access or data exfiltration. These factors combined elevate the risk level to High."
SCN22,USR022,Branch Manager,3,Rule 1: Outside Working Hours; Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,Medium,Medium,Maintained,"The user, a Branch Manager, accessed sensitive/VIP records outside of normal working hours, which is unusual behavior. Although there were no failed login attempts and the number of records accessed is within the daily limit, the access from an unrecognized IP location raises concerns. Therefore, the initial risk assessment of Medium is appropriate, as it indicates potential insider threat behavior that warrants further investigation."
SCN23,USR023,Branch Manager,3,Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, triggered multiple risk rules: 4 failed login attempts indicate potential unauthorized access attempts, while downloading 150 sensitive records exceeds the daily limit, raising concerns about data exfiltration. The combination of these factors, particularly the sensitivity of the accessed records and the failed login attempts, warrants a high-risk assessment."
SCN24,USR024,Branch Manager,3,Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records); Rule 5: Unrecognized IP Location,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, triggered multiple risk rules: 4 failed login attempts indicate potential unauthorized access attempts, while downloading 150 records exceeds the daily limit, raising concerns about data exfiltration. Additionally, the access from an unrecognized IP further heightens the risk, suggesting possible malicious intent or compromised credentials."
SCN25,USR025,Branch Manager,3,Rule 2: Repeated Failed Logins (>3); Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, accessed sensitive/VIP records from an unrecognized IP address after multiple failed login attempts, indicating potential unauthorized access. The combination of accessing sensitive data, the failed logins, and the unusual IP location raises significant concerns about insider threat activity, warranting a high-risk assessment."
SCN26,USR026,Branch Manager,3,Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,Medium,High,Overridden (Medium -> High),"The user, a Branch Manager, downloaded 150 records, exceeding the daily limit of 99, which is a significant violation of policy. Additionally, the access was made from an unrecognized IP address, indicating potential unauthorized access. Given the sensitivity of the records and the nature of the actions, the risk level is appropriately assessed as High."
SCN27,USR027,Branch Manager,4,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access,High,High,Maintained,"The user, a Branch Manager, accessed sensitive/VIP records outside of normal working hours and downloaded 150 records, exceeding the daily limit. Additionally, the user had 4 failed login attempts, indicating potential unauthorized access attempts. These factors collectively suggest a high risk of insider threat."
SCN28,USR028,Branch Manager,4,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records); Rule 5: Unrecognized IP Location,High,High,Maintained,"The user, a Branch Manager, accessed a significant number of records (150) outside of normal working hours and from an unrecognized IP address, which raises concerns about potential data exfiltration. Additionally, the four failed login attempts suggest possible unauthorized access attempts, further justifying the high-risk assessment."
SCN29,USR029,Branch Manager,4,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,High,High,Maintained,"The user, a Branch Manager, accessed sensitive/VIP records outside of normal working hours and from an unrecognized IP address, which raises significant concerns. Additionally, the four failed login attempts indicate potential unauthorized access attempts or account compromise. Given these factors, the initial high risk assessment is justified and should be maintained."
SCN30,USR030,Branch Manager,4,Rule 1: Outside Working Hours; Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,High,High,Maintained,"The user, a Branch Manager, accessed sensitive/VIP records outside of normal working hours and downloaded a mass of 150 records, exceeding the daily limit. Additionally, the access was from an unrecognized IP address, which raises concerns about potential insider threats or data exfiltration. These factors collectively indicate a high risk level."
SCN31,USR031,Branch Manager,4,Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,High,High,Maintained,"The user, a Branch Manager, triggered multiple high-risk rules: 4 failed login attempts indicate potential unauthorized access attempts, while downloading 150 sensitive records exceeds the daily limit. Additionally, the access from an unrecognized IP raises concerns about data exfiltration. These factors collectively maintain a high risk level."
SCN32,USR032,Branch Manager,5,Rule 1: Outside Working Hours; Rule 2: Repeated Failed Logins (>3); Rule 3: Mass Data Download (>99 records); Rule 4: Sensitive/VIP Account Access; Rule 5: Unrecognized IP Location,High,High,Maintained,"The user, a Branch Manager, accessed sensitive/VIP records outside of normal working hours and downloaded 150 records, exceeding the daily limit. Additionally, there were 4 failed login attempts from an unrecognized IP address, indicating potential unauthorized access or malicious intent. These factors collectively maintain a high risk assessment."
