user_id,date,role,ground_truth,scenario,ml_prediction,anomaly_score,llm_prediction,pattern,reason,evidence,ml_correct,llm_correct,comparison_category
SUB301,2026-09-23,Teller,0,normal,0,0.0428276211409766,1,"On the target date, a customer_access event occurred 13 minutes after the user logged out, with no intervening login. This post-logout activity deviates from prior days and suggests a possible lingering session or account misuse; other metrics appear normal.","On 2026-09-23, there was customer access after a recorded logout with no subsequent login, which is inconsistent with prior days and normal workflows.","[""2026-09-23 16:35:00 logout followed by 2026-09-23 16:48:39 customer_access; no login in between"", ""Prior days (2026-09-21, 2026-09-22) show no activity after logout"", ""Downloads on 2026-09-23 were low (one download=3), consistent with earlier days"", ""All activity from known IP during business hours; the anomaly is specifically post-logout access""]",True,False,ml_only_correct
SUB303,2026-09-22,Teller,0,normal,0,0.0170615287960408,1,"// Structured insider-threat behaviour assessment.
","On the target date, activity occurred after a recorded logout with no intervening login, which is an authentication/session anomaly. While downloads (two events of 5 each) and customer accesses were within working hours and from a known IP consistent with the teller role, the post-logout customer_access deviates from normal sequencing and warrants suspicion.","[""2026-09-22 16:32:00 | event=logout | known_ip=1"", ""2026-09-22 16:37:25 | event=customer_access occurs after logout with no new login"", ""Downloads on 2026-09-22 total 10 (two events of 5) vs. 6 on 2026-09-21—moderate increase but within work hours and known IP""]",True,False,ml_only_correct
SUB304,2026-09-23,Teller,0,normal,0,-0.0765196157963574,1,// Structured insider-threat behaviour assessment.,"On the target date (2026-09-23), the teller showed a sharp, repeated increase in downloads (five download events totaling 13), a significant escalation from prior days (0 then 1). Several downloads occurred immediately after customer record accesses, suggesting potential data exfiltration behavior. While activity was from a known IP and during work hours, the volume and pattern of downloads are anomalous for this user compared to earlier days.","[""2026-09-23: five download events totaling 13 (11:07:25=4; 13:14:23=1; 13:34:52=1; 14:45:10=5; 16:04:31=2)"", ""Prior baseline: 2026-09-21 had 0 downloads; 2026-09-22 had 1 download"", ""Temporal coupling: customer_access at 11:04:31 followed by download at 11:07:25; similar repeated later"", ""Role context: Teller typically has limited need for frequent downloads; this is a marked departure from prior two days"", ""Minor anomaly: one VIP account access at 13:56:13 not seen on earlier days (contextual, not conclusive)"", ""Benign context: all events from known IP (10.3.3.126), within business hours, no failed logins""]",True,False,ml_only_correct
SUB304,2026-09-24,Teller,0,normal,0,0.0234128043833013,1,// Structured insider-threat behaviour assessment.,"On 2026-09-24 the teller executed two download events totaling 6, which sustains an abrupt increase that began on 2026-09-23 (13 downloads) after previously minimal downloads. While logins/IPs and hours are normal and there are no failed logins, the continued elevated download volume relative to earlier days and to a teller’s typical needs is anomalous and warrants suspicion on the target date.","[""2026-09-24 11:46:17 | event=download | download=2 | account=Regular | known_ip=1"", ""2026-09-24 13:11:15 | event=download | download=4 | account=Regular | known_ip=1"", ""Context: 2026-09-23 11:07:25 | event=download | download=4 | account=Regular"", ""Context: 2026-09-23 14:45:10 | event=download | download=5 | account=Regular"", ""Context: 2026-09-22 12:34:28 | event=download | download=1 | account=Regular""]",True,False,ml_only_correct
SUB304,2026-09-25,Teller,0,normal,0,-0.0166846467880482,1,// Structured insider-threat behaviour assessment.,"On the target date, there are clear session anomalies: a customer_access event before the recorded login and another customer_access after the recorded logout, with no intervening login events. While download activity and volumes appear consistent with prior days for this user, performing actions outside an authenticated session is unusual and potentially indicative of session misuse or logging issues, warranting investigation.","[""2026-09-25 09:00:20 customer_access occurs before same-day login at 09:09:00"", ""2026-09-25 16:59:04 customer_access occurs after logout at 16:46:00 with no intervening login"", ""Downloads on 2026-09-25 total 7 (16:16:07=3, 16:33:55=4), comparable to prior days (e.g., 6 on 2026-09-24; 13 on 2026-09-23), so the anomaly is timing of access, not volume"", ""All activity from known IP 10.3.3.126 and within work hours, making the session-timing irregularities stand out""]",True,False,ml_only_correct
SUB305,2026-09-22,Teller,0,normal,0,-0.0020390377065108,1,"// Structured insider-threat behaviour assessment.
{""type"":""object"",""properties"":{""prediction"":{""type"":""integer"",""enum"":[0,1]},""reason"":{""type"":""string""},""evidence"":{""type"":""array"",""items"":{""type"":""string""}}}}","Suspicious due to a download occurring before the day’s login (after a prior logout) and a sharp, unexplained increase in download volume relative to the previous day, which is atypical for a Teller. While activity is from a known IP and within work hours, the pre-login download and elevated download bursts make 2026-09-22 anomalous.","[""2026-09-22 09:06:52: download=4 occurred before login at 09:12:00, despite prior logout on 2026-09-21 16:33:00."", ""Total downloads on 2026-09-22 = 14 (09:06=4, 09:19=2, 10:32=4, 15:21=4) vs 4 on 2026-09-21 (3.5x increase)."", ""Customer access volumes on 2026-09-22 are low/modest (1–3 records per event), not proportionally higher to justify the increased downloads."", ""All activity from known IP 10.3.1.56 and within business hours, reducing noise but not explaining the pre-login download.""]",True,False,ml_only_correct
SUB307,2026-09-22,Teller,0,normal,0,0.0786827139169051,1,// Structured insider-threat behaviour assessment.,"On the target date, a customer_access event occurred after the user had logged out, with no intervening login. This is anomalous relative to normal session flow (and the prior day) and could indicate session persistence or misuse. Other activity levels (small record accesses, single small download) appear typical for a teller.","[""2026-09-22 16:45:00 | event=logout | account=Regular | ip=10.3.5.237"", ""2026-09-22 16:50:39 | event=customer_access | records=4 | account=Regular | ip=10.3.5.237 (post-logout access without a new login)"", ""2026-09-21 16:45:00 | event=logout ... (no subsequent activity that day)"", ""2026-09-22 12:37:36 | event=download | download=4 (similar to 2026-09-21 15:03:42, indicating no unusual download growth)""]",True,False,ml_only_correct
SUB307,2026-09-25,Teller,0,normal,0,0.0317448626382126,1,// Structured insider-threat behaviour assessment.,"On the target date, there is a download recorded before the user’s first login and an unusual spike in download activity versus the teller’s recent baseline. This combination of a pre-login data action and elevated, repeated downloads makes the day’s behaviour suspicious despite use of a known IP and normal hours.","[""2026-09-25 09:15:49 | event=download | download=2 occurs before 2026-09-25 09:16:00 | event=login (pre-auth action anomaly)"", ""Additional downloads on 2026-09-25 at 10:38 (2), 11:33 (2), and 12:55 (3) — four download events total on the day"", ""Total downloaded items on 2026-09-25 = 9, which exceeds prior daily totals (2026-09-21:4, 09-22:4, 09-23:7, 09-24:1) and prior max of two download events/day"", ""All activity from known IP and during work hours, so the anomaly is not explained by location or time""]",True,False,ml_only_correct
SUB308,2026-09-21,Teller,0,normal,0,0.010077006711024,1,// Structured insider-threat behaviour assessment.,"On the target date, a customer record access occurred after a recorded logout with no intervening login, which is atypical and suggests a possible session/state anomaly or misuse. Other activity (small, role-consistent customer accesses and two small downloads) appears normal; the post-logout access is the key concern.","[""2026-09-21 16:34:00 logout from known IP 10.3.1.67"", ""No subsequent login event recorded after 16:34:00"", ""2026-09-21 16:35:14 customer_access (5 records) from the same IP without a new login"", ""Downloads were low-volume (3 + 3) and within plausible teller activity, so not driving the flag""]",True,False,ml_only_correct
SUB308,2026-09-22,Teller,0,normal,0,0.0778524746378499,1,"// Structured insider-threat behaviour assessment.
{""type"":""object"",""properties"":{""prediction"":{""type"":""integer"",""enum"":[0,1]},""reason"":{""type"":""string""},""evidence"":{""type"":""array"",""items"":{""type"":""string""}}}}","On the target date, a file download occurred immediately after a recorded logout, followed by a customer access without any intervening login. This post-logout activity is anomalous relative to the employee’s normal intra-session actions and timing, and it happens at end-of-day, elevating concern. While prior day activity included downloads, they occurred during an active session, making today’s sequence unusual and suspicious.","[""2026-09-22 16:37:00 logout followed 2 seconds later by download=4 (download after logout)."", ""2026-09-22 16:47:42 customer_access occurred after logout with no intervening login."", ""End-of-day timing: the only download on 2026-09-22 occurs immediately post-logout, unlike 2026-09-21 where downloads were during the session (11:09 and 13:34)."", ""Slight increase in download size (4 vs. prior day’s 3), coinciding with the anomalous timing.""]",True,False,ml_only_correct
